column,feature_type
ml_hour_sin,numeric
ml_hour_cos,numeric
session_elapsed_seconds,numeric
speed,numeric
location_accuracy,numeric
altitude,numeric
distance_from_prev_m,numeric
lte_rsrp,numeric
lte_rsrq,numeric
lte_sinr,numeric
lte_rssi,numeric
carrier_count,numeric
lte_agg_bandwidth_dl,numeric
lte_bandwidth_dl,numeric
scell1_rsrp,numeric
scell1_rsrq,numeric
scell1_sinr,numeric
neighbor_count,numeric
best_neighbor_rsrp,numeric
strong_neighbor_count,numeric
serving_minus_best_neighbor_rsrp,numeric
neighbor_pci_count,numeric
ml_log1p_measurement_report_event_count_prev5s,numeric
ml_log1p_handover_execution_count_prev5s,numeric
ml_log1p_handover_failure_count_prev10s,numeric
ml_log1p_rach_attempt_count_prev10s,numeric
ml_log1p_rach_failure_count_prev10s,numeric
ml_log1p_ca_activation_change_count_prev10s,numeric
ml_log1p_failure_other_count_prev10s,numeric
lte_cqi,numeric
lte_mcs,numeric
lte_bler,numeric
lte_rank,numeric
lte_rb_count,numeric
lte_agg_rb_dl,numeric
rb_usage_value,numeric
rb_utilization_pct_clipped,numeric
estimated_available_rb,numeric
scell1_cqi,numeric
scell1_mcs,numeric
scell1_bler,numeric
scell1_rb_count,numeric
near_measurement_report_event_prev_flag,numeric
near_handover_execution_prev_flag,numeric
near_handover_failure_prev_flag,numeric
near_rach_failure_prev_flag,numeric
near_ca_activation_change_prev_flag,numeric
near_failure_other_prev_flag,numeric
download_activity_window_raw_flag,numeric
download_analysis_window_flag,numeric
inactive_download_context_flag,numeric
rb_low_usage_flag,numeric
rb_medium_or_high_usage_flag,numeric
rb_high_usage_flag,numeric
serving_earfcn,categorical
serving_band,categorical
id_test_type,categorical
download_context_label,categorical
ca_condition_label,categorical
rb_usage_bucket,categorical
rb_demand_confidence_ml,categorical
rb_capacity_estimation_method,categorical
